"year" "4VWXrv" "HalSurv" "ObsLLnafo3" "ObsLLnafo4" "ObsOT" "PsLL" "PsOT"
1970 24 0 0 0 0 0 0
1971 37 0 0 0 0 0 0
1972 25 0 0 0 0 0 0
1973 36 0 0 0 0 0 0
1974 46 0 0 0 0 0 0
1975 62 0 0 0 0 0 0
1976 69 0 0 0 0 0 0
1977 109 0 0 0 54 0 0
1978 56 0 0 0 0 0 0
1979 76 0 0 0 18 0 0
1980 68 0 0 0 16 0 0
1981 50 0 0 0 37 0 0
1982 45 0 0 0 24 0 0
1983 22 0 0 0 0 0 0
1984 33 0 0 0 294 0 0
1985 28 0 0 0 993 0 0
1986 42 0 0 0 87 0 0
1987 45 0 0 0 309 0 0
1988 56 0 781 126 407 0 0
1989 73 0 887 4 394 0 309
1990 79 0 2275 0 1733 169 0
1991 74 0 1628 20 767 173 438
1992 60 0 2358 405 863 0 137
1993 45 0 310 912 370 28 106
1994 46 0 329 93 157 538 55
1995 40 0 1987 483 88 455 50
1996 50 0 1268 5065 65 284 0
1997 45 0 2246 3053 12 302 31
1998 54 501 2359 7742 30 707 33
1999 34 589 2200 2861 59 4649 106
2000 35 810 2975 3620 267 5573 12
2001 54 801 3444 2764 58 6707 134
2002 45 695 2541 3310 44 6056 68
2003 48 525 3039 3778 43 4507 63
2004 59 623 1772 625 1022 17220 186
2005 104 697 2214 885 77 3455 109
2006 69 584 1262 1045 47 4541 23
2007 90 953 9235 1248 858 5250 305
2008 95 1167 7021 3423 8 5592 14
2009 80 1559 5318 6963 24 3554 66
2010 185 1624 6063 6683 420 3608 247
2011 227 2043 4725 5538 291 5273 520
2012 134 1952 7240 4625 236 8446 912
2013 114 2189 9063 3510 179 6277 35
