Year RV_4VWX HS LL_NAFO3_Obs LL_NAFO4_Obs OT_NAFO3_Obs OT_NAFO4_Obs LL_PS OT_PS 
1970 11 0 0 0 0 0 0 0 
1971 18 0 0 0 0 0 0 0 
1972 16 0 0 0 0 0 0 0 
1973 12 0 0 0 0 0 0 0 
1974 31 0 0 0 0 0 0 0 
1975 28 0 0 0 0 0 0 0 
1976 30 0 0 0 0 0 0 0 
1977 68 0 0 0 0 0 0 0 
1978 27 0 0 0 0 0 0 0 
1979 39 0 0 0 0 18 0 0 
1980 33 0 0 0 0 16 0 0 
1981 19 0 0 0 0 37 0 0 
1982 18 0 0 0 24 0 0 0 
1983 12 0 0 0 0 0 0 0 
1984 14 0 0 0 272 22 0 0 
1985 13 0 0 0 993 0 0 0 
1986 20 0 0 0 86 2 0 0 
1987 24 0 0 0 183 126 0 0 
1988 17 0 781 126 124 283 0 0 
1989 39 0 887 4 152 242 0 309 
1990 43 0 2275 0 373 1339 169 0 
1991 34 0 1628 20 157 610 173 438 
1992 26 0 2358 405 116 747 0 137 
1993 26 0 310 912 99 272 28 106 
1994 23 0 329 93 7 150 538 55 
1995 15 0 1987 483 0 88 455 50 
1996 23 0 1268 5065 0 65 284 0 
1997 24 0 2246 3053 2 11 302 31 
1998 19 501 2359 7742 3 27 707 33 
1999 21 589 2200 2861 0 59 4649 106 
2000 0 810 2975 3620 0 267 5573 12 
2001 21 801 3444 2764 3 55 6707 134 
2002 24 695 2541 3310 3 42 6056 68 
2003 26 525 3039 3778 0 43 4507 63 
2004 26 623 1772 625 0 1022 17220 186 
2005 46 697 2214 885 0 77 3455 109 
2006 30 584 1262 1045 0 47 4541 23 
2007 28 953 9235 1248 0 858 5250 305 
2008 45 1167 7021 3423 0 8 5592 14 
2009 32 1559 5318 6963 0 24 3554 66 
2010 79 1624 6065 6683 13 407 3608 247 
2011 106 2043 4725 5538 3 288 5273 520 
2012 68 1952 7240 4625 0 236 8446 912 
2013 53 2189 9063 3510 82 96 6277 35 

